t (sec),x,y,z
0.05,0,0,0
0.05,0,0,0
0.1,0.3,-0.96,-0.34
0.15000000000000002,0.29,-0.96,-0.34
0.2,0.29,-0.96,-0.34
0.25,0.29,-0.96,-0.35
0.3,0.29,-0.96,-0.34
0.35,0.29,-0.96,-0.34
0.39999999999999997,0.29,-0.96,-0.34
0.44999999999999996,0,0,0
0.49999999999999994,0.3,-0.96,-0.34
0.5499999999999999,0.29,-0.96,-0.34
0.6,0.29,-0.96,-0.34
0.65,0.29,-0.96,-0.35
0.7000000000000001,0.29,-0.96,-0.34
0.7500000000000001,0.29,-0.96,-0.34
0.8000000000000002,0.29,-0.96,-0.34
0.8500000000000002,0.16,-0.5,-0.3
0.9000000000000002,0.32,-0.6,-0.43
0.9500000000000003,0.31,-0.66,-0.61
1.0000000000000002,0.28,-0.65,-0.79
1.0500000000000003,0.3,-0.61,-0.71
1.1000000000000003,0.38,-0.55,-0.68
1.1500000000000004,0.45,-0.65,-0.4
1.2000000000000004,0.62,-0.66,-0.49
1.2500000000000004,0.56,-0.73,-0.31
1.3000000000000005,0.58,-0.7,-0.29
1.3500000000000005,0.5,-0.74,-0.15
1.4000000000000006,0.57,-0.71,-0.23
1.4500000000000006,0.64,-0.72,-0.24
1.5000000000000007,0.67,-0.85,-0.33
1.5500000000000007,0.63,-0.82,-0.35
1.6000000000000008,0.65,-0.78,-0.52
1.6500000000000008,0.63,-0.86,-0.5
1.7000000000000008,0.61,-0.82,-0.47
1.7500000000000009,0.58,-0.89,-0.19
1.800000000000001,0.49,-0.96,-0.12
1.850000000000001,0.44,-0.97,-0.04
1.900000000000001,0.38,-1.05,-0.11
1.950000000000001,0.42,-1.03,-0.1
2.000000000000001,0.56,-1.11,-0.16
2.0500000000000007,0.44,-1.19,-0.02
2.1000000000000005,0.35,-1.21,-0.18
2.1500000000000004,0.36,-1.21,-0.08
2.2,0.24,-1.29,0.15
2.25,0.18,-1.56,0.28
2.3,0.26,-1.39,0.18
2.3499999999999996,0.22,-1.31,0.16
2.3999999999999995,0.21,-1.15,0.13
2.4499999999999993,0.17,-1.08,0.22
2.499999999999999,0.17,-1.08,0.31
2.549999999999999,0.22,-1.05,0.34
2.5999999999999988,0.16,-1.02,0.26
2.6499999999999986,0.22,-0.93,0.11
2.6999999999999984,0.12,-1.01,0.09
2.7499999999999982,0.16,-0.97,0.07
2.799999999999998,0.15,-0.93,0.14
2.849999999999998,0.09,-0.88,0.19
2.8999999999999977,0.11,-0.85,0.19
2.9499999999999975,-0.03,-0.94,0.16
2.9999999999999973,0.12,-0.92,0.21
3.049999999999997,0.26,-0.81,0.11
3.099999999999997,0.24,-0.81,0.09
3.149999999999997,0.22,-0.82,0.13
3.1999999999999966,0.25,-0.85,0.1
3.2499999999999964,0.22,-0.84,0.09
3.2999999999999963,0.27,-0.9,0.14
3.349999999999996,0.27,-0.91,0.14
3.399999999999996,0.25,-0.93,0.22
3.4499999999999957,0.15,-0.93,0.24
3.4999999999999956,0.12,-0.96,0.28
3.5499999999999954,0.07,-0.92,0.2
3.599999999999995,0.14,-1.01,0.24
3.649999999999995,0.12,-0.99,0.07
3.699999999999995,0.23,-1.03,0.07
3.7499999999999947,0.23,-1.09,0.1
3.7999999999999945,0.23,-1.07,0.12
3.8499999999999943,0.14,-1.1,0.14
3.899999999999994,0.14,-1.11,0.17
3.949999999999994,0.13,-1.12,0.14
3.999999999999994,0.18,-1.12,0.07
4.049999999999994,0.22,-1.16,0.07
4.099999999999993,0.19,-1.17,0.03
4.149999999999993,0.14,-1.14,-0.02
4.199999999999993,0.11,-1.18,-0.05
4.249999999999993,0.01,-1.23,0.03
4.299999999999993,-0.07,-1.23,0.07
4.3499999999999925,-0.07,-1.2,0.05
4.399999999999992,-0.0,-1.15,0.07
4.449999999999992,-0.06,-1.17,0.12
4.499999999999992,-0.02,-1.13,0.11
4.549999999999992,-0.06,-1.15,0.15
4.599999999999992,-0.05,-1.1,0.1
4.6499999999999915,-0.04,-1.12,0.04
4.699999999999991,-0.08,-1.08,0.02
4.749999999999991,-0.07,-1.05,-0.01
4.799999999999991,-0.05,-1.02,-0.08
4.849999999999991,-0.1,-1.01,-0.06
4.899999999999991,-0.11,-0.98,-0.07
4.94999999999999,0.01,-0.9,-0.14
4.99999999999999,0.03,-0.89,-0.1
5.04999999999999,0.02,-0.89,-0.02
5.09999999999999,0.01,-0.9,-0.02
5.14999999999999,-0.03,-0.91,-0.04
5.1999999999999895,-0.02,-0.89,-0.06
5.249999999999989,-0.02,-0.85,-0.11
5.299999999999989,0.02,-0.84,-0.11
5.349999999999989,0.05,-0.85,-0.15
5.399999999999989,0.01,-0.88,-0.07
5.449999999999989,-0.0,-0.9,-0.04
5.4999999999999885,-0.03,-0.94,-0.03
5.549999999999988,-0.01,-0.96,-0.06
5.599999999999988,29.54,28.5,28.53
5.649999999999988,14.81,14.22,14.31
5.699999999999988,7.45,6.61,7.15
5.749999999999988,3.63,2.72,3.57
5.799999999999987,1.83,0.8,1.75
5.849999999999987,0.88,-0.1,0.9
5.899999999999987,0.41,-0.59,0.4
5.949999999999987,0.19,-0.84,0.18
5.999999999999987,0.08,-0.98,0.07
6.0499999999999865,0.02,-1.06,0.08
6.099999999999986,0.04,-1.07,0.03
6.149999999999986,0.04,-1.06,0.0
6.199999999999986,0.08,-1.02,-0.06
6.249999999999986,0.08,-0.54,0.02
6.299999999999986,-0.04,-0.77,0.02
6.349999999999985,-0.08,-0.95,0.07
6.399999999999985,-0.07,-0.97,-0.08
6.449999999999985,-0.08,-1.1,0.02
6.499999999999985,-0.07,-1.13,-0.03
6.549999999999985,-0.05,-1.16,-0.02
6.5999999999999845,-0.03,-1.11,-0.04
6.649999999999984,-0.07,-1.06,-0.05
6.699999999999984,-0.05,-1.05,-0.09
6.749999999999984,-0.08,-1.05,-0.08
6.799999999999984,-0.07,-1.08,-0.07
6.849999999999984,-0.17,-1.01,0.05
6.8999999999999835,-0.09,-1.01,-0.01
6.949999999999983,-0.08,-1.04,-0.02
6.999999999999983,-0.16,-1.04,-0.01
7.049999999999983,-0.11,-0.99,-0.12
7.099999999999983,-0.14,-0.94,-0.12
7.149999999999983,-0.15,-0.87,-0.07
7.199999999999982,-0.17,-0.9,-0.04
7.249999999999982,-0.09,-0.82,-0.09
7.299999999999982,-0.07,-0.8,-0.1
7.349999999999982,0.12,-0.51,-0.21
7.399999999999982,0.04,-0.66,-0.18
7.4499999999999815,-0.04,-0.77,-0.11
7.499999999999981,-0.06,-0.85,-0.13
7.549999999999981,-0.08,-0.85,-0.14
7.599999999999981,-0.13,-0.9,-0.07
7.649999999999981,-0.15,-0.9,-0.1
7.699999999999981,-0.14,-0.94,-0.05
7.7499999999999805,-0.17,-0.98,-0.03
7.79999999999998,-0.11,-0.95,-0.12
7.84999999999998,-0.14,-0.97,-0.01
7.89999999999998,-0.15,-0.97,-0.17
7.94999999999998,-0.13,-0.96,-0.11
7.99999999999998,-0.16,-0.97,-0.16
8.04999999999998,-0.15,-0.96,-0.1
8.09999999999998,-0.27,-0.98,0.03
8.14999999999998,-0.23,-1.05,-0.02
8.199999999999982,-0.29,-1.09,-0.03
8.249999999999982,-0.3,-1.1,0.06
8.299999999999983,-0.28,-1.11,-0.05
8.349999999999984,-0.27,-1.09,-0.11
8.399999999999984,-0.28,-1.1,-0.09
8.449999999999985,-0.24,-1.1,-0.12
8.499999999999986,-0.24,-1.13,-0.13
8.549999999999986,-0.25,-1.16,-0.06
8.599999999999987,-0.27,-1.14,-0.09
8.649999999999988,-0.27,-1.12,-0.03
8.699999999999989,-0.28,-1.1,0.01
8.74999999999999,-0.25,-1.09,0.05
8.79999999999999,-0.23,-1.1,-0.02
8.84999999999999,-0.23,-1.07,-0.03
8.899999999999991,-0.21,-1.02,-0.09
8.949999999999992,-0.19,-0.99,-0.09
8.999999999999993,-0.25,-0.94,-0.03
9.049999999999994,-0.22,-0.91,-0.01
9.099999999999994,-0.22,-0.88,-0.04
9.149999999999995,-0.22,-0.86,-0.03
9.199999999999996,-0.22,-0.86,-0.03
9.249999999999996,-0.19,-0.8,0.02
9.299999999999997,-0.12,-0.77,-0.06
9.349999999999998,-0.09,-0.76,-0.07
9.399999999999999,-0.09,-0.81,-0.07
9.45,-0.08,-0.86,-0.13
9.5,-0.07,-0.87,-0.14
9.55,-0.1,-0.88,-0.15
9.600000000000001,-0.08,-0.84,-0.18
9.650000000000002,-0.13,-0.89,-0.1
9.700000000000003,-0.17,-0.94,-0.05
9.750000000000004,-0.2,-0.96,-0.07
9.800000000000004,-0.16,-0.95,-0.03
9.850000000000005,-0.16,-1.01,-0.05
9.900000000000006,-0.15,-1.07,-0.06
9.950000000000006,-0.1,-1.05,-0.09
10.000000000000007,-0.17,-1.03,-0.1
10.050000000000008,-0.06,-0.99,-0.12
10.100000000000009,-0.18,-1.04,-0.08
10.15000000000001,-0.14,-1.05,-0.07
10.20000000000001,-0.15,-1.08,-0.0
10.25000000000001,-0.14,-1.07,-0.01
10.300000000000011,-0.11,-1.06,0.0
10.350000000000012,-0.08,-1.08,-0.04
10.400000000000013,-0.11,-1.12,-0.08
10.450000000000014,-0.12,-1.13,-0.11
10.500000000000014,-0.13,-1.16,-0.08
10.550000000000015,-0.15,-1.18,-0.04
10.600000000000016,-0.16,-1.18,-0.03
