t (sec),x,y,z
0.05,0,0,0
0.05,0.41,-1.07,0.03
0.1,0.44,-1.05,0.02
0.15000000000000002,0.45,-1.04,0.03
0.2,0.45,-1.05,0.03
0.25,0.44,-1.1,0.02
0.3,0.45,-1.13,0.02
0.35,0.46,-1.16,0.05
0.39999999999999997,0.47,-1.15,0.03
0.44999999999999996,0.46,-1.12,0.03
0.49999999999999994,0.43,-1.11,0.04
0.5499999999999999,0.43,-1.08,0.03
0.6,0.44,-1.07,0.02
0.65,0.43,-1.09,0.04
0.7000000000000001,0.41,-1.08,0.04
0.7500000000000001,0.41,-1.04,0.02
0.8000000000000002,0.39,-1.03,0.07
0.8500000000000002,0.39,-0.97,0.04
0.9000000000000002,0.39,-0.95,0.04
0.9500000000000003,0.46,-0.93,0.01
1.0000000000000002,0.44,-1.01,0.17
1.0500000000000003,0.47,-0.94,0.11
1.1000000000000003,0.34,-1.04,0.28
1.1500000000000004,0.42,-0.9,0.09
1.2000000000000004,0.36,-0.9,0.17
1.2500000000000004,0.44,-0.85,0.09
1.3000000000000005,0.39,-0.83,0.02
1.3500000000000005,0.41,-0.82,-0.02
1.4000000000000006,0.42,-0.85,0.05
1.4500000000000006,0.49,-0.86,0.01
1.5000000000000007,0.51,-0.85,0.0
1.5500000000000007,0.54,-0.88,0.01
1.6000000000000008,0.52,-0.88,0.05
1.6500000000000008,0.52,-0.88,0.01
1.7000000000000008,0.49,-0.89,0.08
1.7500000000000009,0.48,-0.87,0.06
1.800000000000001,0.49,-0.84,0.15
1.850000000000001,0.45,-0.87,0.13
1.900000000000001,0.48,-0.91,0.09
1.950000000000001,0.43,-0.94,0.1
2.000000000000001,0.47,-0.93,0.05
2.0500000000000007,0.41,-0.92,0.05
2.1000000000000005,0.48,-0.94,-0.04
2.1500000000000004,0.41,-0.99,0.03
2.2,0.48,-1.01,-0.01
2.25,0.46,-1.07,0.15
2.3,0.44,-1.06,0.12
2.3499999999999996,0.45,-1.02,0.09
2.3999999999999995,0.46,-0.99,0.06
2.4499999999999993,0.54,-0.97,0.05
2.499999999999999,0.61,-0.96,0.02
2.549999999999999,0.61,-1.0,0.02
2.5999999999999988,0.55,-1.03,0.02
2.6499999999999986,0.52,-1.08,0.02
2.6999999999999984,0,0,0
2.7499999999999982,-0.13,1.0,0.65
2.799999999999998,-0.14,0.89,0.28
2.849999999999998,-0.32,0.82,0.19
2.8999999999999977,-0.26,0.59,-0.01
2.9499999999999975,-0.0,0.98,-0.48
2.9999999999999973,-0.31,1.0,0.25
3.049999999999997,-0.3,-0.23,0.57
3.099999999999997,-0.44,-0.65,0.24
3.149999999999997,-0.59,-0.56,0.45
3.1999999999999966,-0.48,-0.72,0.36
3.2499999999999964,-0.56,-0.6,0.36
3.2999999999999963,-0.76,-0.26,0.28
3.349999999999996,-0.84,-0.34,0.38
3.399999999999996,-0.76,-0.59,0.29
3.4499999999999957,-0.76,-0.56,0.24
3.4999999999999956,-0.72,-0.47,0.28
3.5499999999999954,-0.81,-0.48,0.32
3.599999999999995,-0.82,-0.24,0.36
3.649999999999995,-0.77,-0.67,0.4
3.699999999999995,-0.85,-0.77,0.36
3.7499999999999947,-0.82,-0.94,0.5
3.7999999999999945,-0.61,-0.84,0.2
3.8499999999999943,-0.94,-0.54,0.16
3.899999999999994,-0.76,-0.44,-0.03
3.949999999999994,-0.59,-0.06,-0.42
3.999999999999994,-0.73,0.12,-0.23
4.049999999999994,-0.76,0.38,0.0
4.099999999999993,-0.81,0.26,0.12
4.149999999999993,-0.71,0.28,-0.24
4.199999999999993,-0.8,0.32,-0.03
4.249999999999993,-0.81,0.38,0.19
4.299999999999993,-0.93,0.32,0.19
4.3499999999999925,-0.81,0.37,0.03
4.399999999999992,-0.9,0.36,0.08
4.449999999999992,-0.93,0.45,0.22
4.499999999999992,-0.91,0.42,0.08
4.549999999999992,-0.88,0.52,0.06
4.599999999999992,-0.86,0.58,0.14
4.6499999999999915,-0.81,0.6,0.12
