t (sec),x,y,z
0.05,0,0,0
0.05,-0.23,-0.7,-0.64
0.1,-0.22,-0.67,-0.65
0.15000000000000002,-0.22,-0.68,-0.65
0.2,-0.22,-0.69,-0.65
0.25,-0.2,-0.71,-0.63
0.3,0,0,0
0.35,-0.24,-0.71,-0.65
0.39999999999999997,-0.23,-0.7,-0.64
0.44999999999999996,-0.22,-0.67,-0.65
0.49999999999999994,-0.22,-0.68,-0.65
0.5499999999999999,-0.22,-0.69,-0.65
0.6,-0.2,-0.71,-0.63
0.65,0,0,0
0.7000000000000001,-0.17,-0.58,-0.38
0.7500000000000001,-0.23,-0.65,-0.41
0.8000000000000002,-0.2,-0.7,-0.49
0.8500000000000002,-0.2,-0.73,-0.54
0.9000000000000002,-0.26,-0.76,-0.58
0.9500000000000003,-0.3,-0.76,-0.57
1.0000000000000002,-0.25,-0.75,-0.58
1.0500000000000003,-0.24,-0.76,-0.57
1.1000000000000003,-0.25,-0.77,-0.59
1.1500000000000004,-0.27,-0.79,-0.57
1.2000000000000004,-0.26,-0.8,-0.56
1.2500000000000004,-0.24,-0.8,-0.52
1.3000000000000005,-0.21,-0.78,-0.53
1.3500000000000005,-0.21,-0.78,-0.55
1.4000000000000006,-0.23,-0.78,-0.58
1.4500000000000006,-0.24,-0.79,-0.59
1.5000000000000007,-0.27,-0.81,-0.61
1.5500000000000007,-0.28,-0.84,-0.68
1.6000000000000008,-0.3,-0.91,-0.68
1.6500000000000008,-0.33,-0.9,-0.71
1.7000000000000008,-0.3,-0.9,-0.69
1.7500000000000009,-0.24,-0.87,-0.71
1.800000000000001,-0.24,-0.88,-0.64
1.850000000000001,-0.21,-0.82,-0.7
1.900000000000001,-0.21,-0.82,-0.47
1.950000000000001,-0.12,-0.7,-0.49
2.000000000000001,-0.01,-0.7,-0.31
2.0500000000000007,0.04,-0.73,-0.26
2.1000000000000005,0.11,-0.75,-0.23
2.1500000000000004,0.06,-0.77,-0.25
2.2,-0.07,-0.73,-0.43
2.25,-0.03,-0.77,-0.35
2.3,-0.14,-0.74,-0.47
2.3499999999999996,-0.16,-0.71,-0.42
2.3999999999999995,-0.12,-0.73,-0.48
2.4499999999999993,-0.18,-0.7,-0.44
2.499999999999999,-0.1,-0.74,-0.53
2.549999999999999,-0.14,-0.76,-0.53
2.5999999999999988,-0.12,-0.77,-0.63
2.6499999999999986,-0.09,-0.84,-0.69
2.6999999999999984,-0.17,-0.84,-0.7
2.7499999999999982,-0.21,-0.83,-0.74
2.799999999999998,-0.27,-0.82,-0.71
2.849999999999998,-0.27,-0.81,-0.62
2.8999999999999977,-0.25,-0.84,-0.57
2.9499999999999975,-0.21,-0.87,-0.56
2.9999999999999973,-0.22,-0.86,-0.56
3.049999999999997,-0.2,-0.87,-0.57
3.099999999999997,-0.18,-0.88,-0.56
3.149999999999997,-0.13,-0.93,-0.59
3.1999999999999966,-0.14,-0.93,-0.58
3.2499999999999964,-0.12,-0.95,-0.57
3.2999999999999963,-0.1,-0.96,-0.58
3.349999999999996,-0.14,-1.03,-0.59
3.399999999999996,-0.18,-1.02,-0.62
3.4499999999999957,-0.18,-1.04,-0.62
3.4999999999999956,-0.18,-1.02,-0.61
3.5499999999999954,-0.18,-0.98,-0.6
3.599999999999995,-0.2,-0.95,-0.61
3.649999999999995,-0.18,-0.89,-0.6
3.699999999999995,-0.15,-0.86,-0.65
3.7499999999999947,-0.1,-0.82,-0.66
3.7999999999999945,-0.13,-0.84,-0.54
3.8499999999999943,-0.09,-0.78,-0.57
3.899999999999994,-0.14,-0.75,-0.5
3.949999999999994,-0.1,-0.74,-0.52
3.999999999999994,-0.17,-0.71,-0.4
4.049999999999994,-0.12,-0.69,-0.48
4.099999999999993,-0.15,-0.7,-0.37
4.149999999999993,-0.05,-0.71,-0.36
4.199999999999993,-0.03,-0.76,-0.32
4.249999999999993,-0.02,-0.77,-0.31
4.299999999999993,-0.06,-0.8,-0.31
4.3499999999999925,-0.11,-0.78,-0.34
4.399999999999992,-0.08,-0.8,-0.34
4.449999999999992,-0.1,-0.77,-0.37
4.499999999999992,-0.09,-0.79,-0.38
4.549999999999992,-0.11,-0.8,-0.36
4.599999999999992,-0.12,-0.79,-0.34
4.6499999999999915,-0.1,-0.72,-0.41
4.699999999999991,-0.14,-0.77,-0.37
4.749999999999991,-0.1,-0.79,-0.47
4.799999999999991,-0.14,-0.86,-0.42
4.849999999999991,-0.08,-0.92,-0.47
4.899999999999991,-0.19,-0.96,-0.43
4.94999999999999,-0.19,-0.98,-0.52
4.99999999999999,-0.28,-1.01,-0.51
5.04999999999999,-0.29,-0.99,-0.5
5.09999999999999,-0.26,-1.02,-0.53
5.14999999999999,-0.23,-1.03,-0.44
5.1999999999999895,-0.22,-1.05,-0.41
5.249999999999989,-0.16,-1.06,-0.4
5.299999999999989,-0.09,-1.06,-0.38
5.349999999999989,-0.08,-1.04,-0.38
5.399999999999989,-0.08,-1.0,-0.38
5.449999999999989,-0.08,-0.99,-0.4
5.4999999999999885,-0.07,-1.0,-0.42
5.549999999999988,-0.12,-1.06,-0.42
5.599999999999988,-0.11,-1.05,-0.43
5.649999999999988,-0.19,-1.1,-0.51
5.699999999999988,-0.25,-1.06,-0.49
5.749999999999988,-0.25,-1.06,-0.45
5.799999999999987,-0.34,-1.02,-0.52
5.849999999999987,-0.34,-0.96,-0.54
5.899999999999987,-0.31,-0.95,-0.52
5.949999999999987,-0.29,-0.9,-0.58
5.999999999999987,-0.23,-0.86,-0.46
6.0499999999999865,-0.16,-0.81,-0.44
6.099999999999986,-0.14,-0.74,-0.41
6.149999999999986,-0.13,-0.68,-0.35
6.199999999999986,-0.07,-0.64,-0.31
6.249999999999986,0.07,-0.66,-0.12
6.299999999999986,0.08,-0.74,-0.13
6.349999999999985,0.01,-0.77,-0.21
6.399999999999985,-0.09,-0.8,-0.28
6.449999999999985,-0.18,-0.8,-0.29
6.499999999999985,-0.1,-0.85,-0.28
6.549999999999985,-0.11,-0.87,-0.23
6.5999999999999845,-0.14,-0.8,-0.21
