t (sec),x,y,z
0.05,0,0,0
0.05,0,0,0
0.1,-0.3,0.82,0.36
0.15000000000000002,-0.25,0.84,0.32
0.2,-0.19,0.85,0.33
0.25,-0.15,0.85,0.35
0.3,-0.14,0.82,0.36
0.35,-0.18,0.79,0.38
0.39999999999999997,-0.25,0.82,0.37
0.44999999999999996,0,0,0
0.49999999999999994,-0.3,0.82,0.36
0.5499999999999999,-0.25,0.84,0.32
0.6,-0.19,0.85,0.33
0.65,-0.15,0.85,0.35
0.7000000000000001,-0.14,0.82,0.36
0.7500000000000001,-0.18,0.79,0.38
0.8000000000000002,-0.25,0.82,0.37
0.8500000000000002,-0.0,0.46,0.11
0.9000000000000002,-0.03,0.68,0.17
0.9500000000000003,-0.08,0.8,0.21
1.0000000000000002,-0.11,0.84,0.23
1.0500000000000003,-0.14,0.86,0.25
1.1000000000000003,-0.14,0.85,0.25
1.1500000000000004,-0.12,0.85,0.25
1.2000000000000004,-0.13,0.87,0.25
1.2500000000000004,-0.15,0.87,0.26
1.3000000000000005,-0.17,0.88,0.26
1.3500000000000005,-0.16,0.85,0.25
1.4000000000000006,-0.07,0.81,0.24
1.4500000000000006,0.07,0.76,0.22
1.5000000000000007,0.15,0.75,0.17
1.5500000000000007,0.03,0.76,0.13
1.6000000000000008,-0.11,0.72,0.11
1.6500000000000008,-0.32,0.68,0.07
1.7000000000000008,-0.5,0.59,0.07
1.7500000000000009,-0.69,0.54,0.08
1.800000000000001,-0.81,0.48,0.05
1.850000000000001,-0.94,0.46,0.02
1.900000000000001,-0.99,0.45,-0.0
1.950000000000001,-0.98,0.44,-0.01
2.000000000000001,-0.98,0.44,-0.02
2.0500000000000007,-0.97,0.44,-0.03
2.1000000000000005,-1.03,0.49,-0.06
2.1500000000000004,-1.04,0.52,-0.04
2.2,-0.95,0.53,-0.02
2.25,-0.82,0.54,-0.05
2.3,-0.73,0.57,-0.01
2.3499999999999996,-0.63,0.6,-0.06
2.3999999999999995,-0.56,0.63,-0.01
2.4499999999999993,-0.52,0.65,-0.02
2.499999999999999,-0.43,0.67,-0.0
2.549999999999999,-0.38,0.73,0.01
2.5999999999999988,-0.28,0.74,0.01
2.6499999999999986,-0.16,0.76,0.05
2.6999999999999984,-0.01,0.78,0.08
2.7499999999999982,0.03,0.83,0.09
2.799999999999998,0.15,0.81,0.08
2.849999999999998,0.24,0.83,0.07
2.8999999999999977,0.33,0.85,0.09
2.9499999999999975,0.39,0.86,0.13
2.9999999999999973,0.4,0.88,0.11
3.049999999999997,0.38,0.89,0.1
3.099999999999997,0.34,0.91,0.06
3.149999999999997,0.26,0.89,0.07
3.1999999999999966,0.18,0.86,0.08
3.2499999999999964,0.06,0.84,0.08
3.2999999999999963,-0.1,0.82,0.09
3.349999999999996,-0.25,0.81,0.09
3.399999999999996,-0.33,0.79,0.1
3.4499999999999957,-0.39,0.75,0.08
3.4999999999999956,-0.41,0.71,0.09
3.5499999999999954,-0.41,0.7,0.03
3.599999999999995,-0.45,0.68,0.03
3.649999999999995,-0.44,0.64,-0.05
3.699999999999995,-0.5,0.63,-0.03
3.7499999999999947,-0.49,0.61,-0.06
3.7999999999999945,-0.58,0.62,-0.06
3.8499999999999943,-0.65,0.63,-0.03
3.899999999999994,-0.77,0.63,-0.04
3.949999999999994,-0.81,0.6,-0.01
3.999999999999994,-0.74,0.53,0.01
4.049999999999994,-0.82,0.54,-0.02
4.099999999999993,-0.89,0.54,-0.06
4.149999999999993,-0.96,0.54,-0.06
4.199999999999993,-1.0,0.56,-0.07
4.249999999999993,-1.08,0.58,-0.05
4.299999999999993,-0.98,0.54,-0.07
4.3499999999999925,-0.84,0.52,-0.18
4.399999999999992,-0.84,0.52,-0.11
4.449999999999992,-0.78,0.53,-0.12
4.499999999999992,-0.72,0.55,-0.09
4.549999999999992,-0.65,0.57,-0.11
4.599999999999992,-0.46,0.57,-0.09
4.6499999999999915,-0.29,0.6,-0.06
4.699999999999991,-0.14,0.65,-0.0
4.749999999999991,-0.01,0.71,-0.01
4.799999999999991,0.03,0.78,-0.0
4.849999999999991,0.02,0.84,0.02
4.899999999999991,0.12,0.86,0.01
4.94999999999999,0.2,0.87,0.04
4.99999999999999,0.24,0.89,0.05
5.04999999999999,0.23,0.9,0.06
5.09999999999999,0.15,0.91,0.05
5.14999999999999,0.09,0.9,0.06
5.1999999999999895,-0.02,0.88,0.05
5.249999999999989,-0.09,0.83,0.07
5.299999999999989,-0.19,0.79,0.09
5.349999999999989,-0.28,0.75,0.09
5.399999999999989,-0.4,0.71,0.08
5.449999999999989,-0.45,0.68,0.06
5.4999999999999885,-0.53,0.66,0.04
5.549999999999988,-0.53,0.63,0.05
5.599999999999988,-0.54,0.62,0.04
5.649999999999988,-0.62,0.6,0.0
5.699999999999988,-0.71,0.56,-0.04
5.749999999999988,-0.74,0.51,-0.05
5.799999999999987,-0.73,0.46,-0.04
5.849999999999987,-0.78,0.42,-0.05
5.899999999999987,-0.86,0.4,-0.08
5.949999999999987,-0.96,0.38,-0.1
5.999999999999987,-0.99,0.37,-0.11
6.0499999999999865,-0.96,0.36,-0.11
6.099999999999986,-0.96,0.38,-0.11
6.149999999999986,-1.0,0.4,-0.1
6.199999999999986,-0.99,0.4,-0.09
6.249999999999986,-0.92,0.41,-0.04
6.299999999999986,-0.8,0.41,-0.08
6.349999999999985,-0.77,0.46,-0.05
6.399999999999985,-0.74,0.5,-0.05
6.449999999999985,-0.71,0.55,-0.04
6.499999999999985,-0.6,0.6,-0.06
6.549999999999985,-0.51,0.66,-0.05
6.5999999999999845,-0.29,0.67,-0.01
6.649999999999984,-0.09,0.7,-0.02
6.699999999999984,0.05,0.74,-0.05
6.749999999999984,0.19,0.78,-0.08
6.799999999999984,0.21,0.86,-0.09
6.849999999999984,0.19,0.92,-0.1
6.8999999999999835,0.18,0.93,-0.1
6.949999999999983,0.17,0.93,-0.1
6.999999999999983,0.1,0.92,-0.11
7.049999999999983,0.04,0.87,-0.07
7.099999999999983,-0.07,0.85,-0.07
7.149999999999983,-0.16,0.8,-0.06
7.199999999999982,-0.27,0.75,-0.07
7.249999999999982,-0.35,0.71,-0.1
7.299999999999982,-0.45,0.68,-0.07
7.349999999999982,-0.49,0.64,-0.06
7.399999999999982,-0.55,0.6,-0.05
7.4499999999999815,-0.63,0.58,-0.09
7.499999999999981,-0.72,0.56,-0.13
7.549999999999981,-0.73,0.53,-0.17
7.599999999999981,-0.78,0.5,-0.18
7.649999999999981,-0.77,0.48,-0.18
7.699999999999981,-0.76,0.45,-0.18
7.7499999999999805,-0.8,0.44,-0.21
7.79999999999998,-0.81,0.42,-0.23
7.84999999999998,-0.82,0.41,-0.22
7.89999999999998,-0.83,0.38,-0.21
7.94999999999998,-0.86,0.39,-0.24
7.99999999999998,-0.96,0.41,-0.26
8.04999999999998,-0.98,0.42,-0.26
8.09999999999998,-0.94,0.43,-0.25
8.14999999999998,-0.86,0.42,-0.22
8.199999999999982,-0.81,0.44,-0.2
8.249999999999982,-0.81,0.48,-0.21
8.299999999999983,-0.82,0.52,-0.24
8.349999999999984,-0.73,0.53,-0.19
8.399999999999984,-0.62,0.53,-0.17
8.449999999999985,-0.55,0.57,-0.12
8.499999999999986,-0.37,0.6,-0.11
8.549999999999986,-0.31,0.71,-0.1
8.599999999999987,-0.14,0.73,-0.12
8.649999999999988,0.01,0.78,-0.09
8.699999999999989,0.1,0.83,-0.06
8.74999999999999,0.1,0.91,-0.11
8.79999999999999,0.2,0.91,-0.13
8.84999999999999,0.32,0.89,-0.13
8.899999999999991,0.31,0.91,-0.11
8.949999999999992,0.29,0.92,-0.1
8.999999999999993,0.22,0.94,-0.11
9.049999999999994,0.18,0.94,-0.09
9.099999999999994,0.16,0.91,-0.09
9.149999999999995,0.14,0.88,-0.08
9.199999999999996,0.1,0.85,-0.08
9.249999999999996,0.02,0.84,-0.11
9.299999999999997,-0.07,0.82,-0.09
9.349999999999998,-0.18,0.79,-0.1
9.399999999999999,-0.29,0.76,-0.11
9.45,-0.34,0.71,-0.14
9.5,-0.44,0.67,-0.14
9.55,-0.54,0.62,-0.16
9.600000000000001,-0.64,0.56,-0.15
9.650000000000002,-0.68,0.51,-0.15
9.700000000000003,-0.71,0.47,-0.16
9.750000000000004,-0.73,0.43,-0.17
9.800000000000004,-0.75,0.38,-0.16
9.850000000000005,-0.8,0.35,-0.19
9.900000000000006,-0.92,0.33,-0.25
9.950000000000006,-1.01,0.31,-0.28
10.000000000000007,-1.1,0.3,-0.29
10.050000000000008,-1.09,0.29,-0.26
10.100000000000009,-1.05,0.29,-0.25
10.15000000000001,-1.01,0.31,-0.25
10.20000000000001,-0.96,0.31,-0.25
10.25000000000001,-0.93,0.32,-0.22
10.300000000000011,-0.82,0.36,-0.28
10.350000000000012,-0.76,0.43,-0.25
10.400000000000013,-0.62,0.47,-0.25
10.450000000000014,-0.54,0.51,-0.21
10.500000000000014,-0.41,0.55,-0.15
10.550000000000015,-0.41,0.66,-0.11
10.600000000000016,-0.17,0.67,-0.06
10.650000000000016,-0.18,0.79,-0.05
10.700000000000017,-0.05,0.81,-0.07
10.750000000000018,-0.09,0.87,-0.05
10.800000000000018,0.14,0.79,-0.04
10.85000000000002,0.27,0.82,-0.05
10.90000000000002,0.23,0.9,-0.04
10.95000000000002,0.12,0.95,-0.04
