t (sec),x,y,z
0.05,0.11,0.37,-0.32
0.05,0.16,0.58,-0.42
0.1,0.2,0.65,-0.49
0.15000000000000002,0.2,0.74,-0.49
0.2,0.2,0.73,-0.51
0.25,0.24,0.7,-0.55
0.3,0.25,0.71,-0.57
0.35,0.28,0.69,-0.62
0.39999999999999997,0.23,0.66,-0.64
0.44999999999999996,0.24,0.66,-0.7
0.49999999999999994,0.28,0.64,-0.75
0.5499999999999999,0.34,0.62,-0.76
0.6,0.32,0.54,-0.83
0.65,0.32,0.65,-0.67
0.7000000000000001,0.29,0.59,-0.68
0.7500000000000001,0.33,0.69,-0.64
0.8000000000000002,0.27,0.65,-0.6
0.8500000000000002,0.42,0.68,-0.54
0.9000000000000002,0.53,0.64,-0.64
0.9500000000000003,0.58,0.69,-0.47
1.0000000000000002,0.65,0.67,-0.49
1.0500000000000003,0.69,0.5,-0.43
1.1000000000000003,0.75,0.46,-0.46
1.1500000000000004,0.86,0.65,-0.41
1.2000000000000004,0.82,0.61,-0.21
1.2500000000000004,0.79,0.49,-0.25
1.3000000000000005,0.86,0.43,-0.18
1.3500000000000005,0.93,0.41,-0.22
1.4000000000000006,1.03,0.34,-0.33
1.4500000000000006,1.06,0.39,-0.41
1.5000000000000007,1.1,0.41,-0.45
1.5500000000000007,1.1,0.38,-0.52
1.6000000000000008,1.1,0.37,-0.55
1.6500000000000008,1.14,0.41,-0.6
1.7000000000000008,1.27,0.4,-0.76
1.7500000000000009,1.28,0.44,-0.7
1.800000000000001,1.09,0.34,-0.66
1.850000000000001,1.05,0.28,-0.67
1.900000000000001,0.91,0.2,-0.57
1.950000000000001,0.79,0.12,-0.44
2.000000000000001,0.76,0.14,-0.34
2.0500000000000007,0.77,0.13,-0.25
2.1000000000000005,0.58,0.23,-0.22
2.1500000000000004,0.63,0.3,-0.24
2.2,0.64,0.35,-0.17
2.25,0.79,0.32,-0.29
2.3,0.72,0.43,-0.26
2.3499999999999996,0.74,0.43,-0.29
2.3999999999999995,0.66,0.4,-0.3
2.4499999999999993,0.81,0.32,-0.4
2.499999999999999,0.73,0.2,-0.52
2.549999999999999,0.76,0.21,-0.55
2.5999999999999988,0.87,0.25,-0.66
2.6499999999999986,0.83,0.3,-0.58
2.6999999999999984,0.82,0.28,-0.59
2.7499999999999982,0.87,0.23,-0.58
2.799999999999998,0.96,0.22,-0.6
2.849999999999998,0.9,0.21,-0.6
2.8999999999999977,1.0,0.22,-0.65
2.9499999999999975,1.09,0.24,-0.63
2.9999999999999973,1.03,0.26,-0.71
3.049999999999997,0.9,0.26,-0.74
3.099999999999997,0.88,0.26,-0.7
3.149999999999997,0.91,0.21,-0.78
3.1999999999999966,0.98,0.22,-0.76
3.2499999999999964,0.98,0.19,-0.86
3.2999999999999963,0.91,0.13,-0.87
3.349999999999996,0.91,0.13,-0.86
3.399999999999996,0.97,0.06,-0.84
3.4499999999999957,0.95,0.04,-0.8
3.4999999999999956,0.98,0.01,-0.8
3.5499999999999954,0.99,-0.02,-0.82
3.599999999999995,0.99,-0.03,-0.81
3.649999999999995,1.04,-0.07,-0.74
3.699999999999995,0.88,0.01,-0.61
3.7499999999999947,0.84,0.08,-0.57
3.7999999999999945,0.69,0.12,-0.47
3.8499999999999943,0.78,0.13,-0.51
3.899999999999994,0.63,0.23,-0.11
3.949999999999994,0.61,0.34,-0.11
3.999999999999994,0.64,0.37,-0.07
4.049999999999994,0.78,0.4,-0.14
4.099999999999993,0.79,0.36,-0.36
4.149999999999993,0.78,0.41,-0.37
4.199999999999993,0.81,0.4,-0.4
4.249999999999993,0.72,0.37,-0.4
4.299999999999993,0.72,0.29,-0.45
4.3499999999999925,0.68,0.29,-0.35
4.399999999999992,0.76,0.23,-0.43
4.449999999999992,0.81,0.2,-0.54
4.499999999999992,0.83,0.24,-0.5
4.549999999999992,0.75,0.22,-0.56
4.599999999999992,0.75,0.2,-0.54
4.6499999999999915,0.79,0.14,-0.6
4.699999999999991,0.75,0.05,-0.61
4.749999999999991,0.8,0.05,-0.66
4.799999999999991,0.95,0.08,-0.7
4.849999999999991,0.95,-0.04,-0.83
4.899999999999991,0.97,-0.05,-0.77
4.94999999999999,0.94,-0.08,-0.81
4.99999999999999,1.02,-0.02,-0.82
5.04999999999999,1.1,0.0,-0.79
5.09999999999999,1.04,0.03,-0.83
5.14999999999999,1.03,0.02,-0.82
5.1999999999999895,1.05,0.03,-0.82
5.249999999999989,1.02,0.06,-0.8
5.299999999999989,1.05,0.08,-0.8
5.349999999999989,1.01,0.08,-0.79
5.399999999999989,0.98,0.12,-0.76
5.449999999999989,0.98,0.09,-0.75
5.4999999999999885,1.02,0.07,-0.72
5.549999999999988,0.99,0.05,-0.68
5.599999999999988,0.89,0.04,-0.62
5.649999999999988,0.77,0.08,-0.55
5.699999999999988,0.79,0.14,-0.48
5.749999999999988,0.72,0.23,-0.38
5.799999999999987,0.74,0.22,-0.37
5.849999999999987,0.67,0.26,-0.37
5.899999999999987,0.64,0.3,-0.38
5.949999999999987,0.59,0.41,-0.31
5.999999999999987,0.65,0.44,-0.34
6.0499999999999865,0.68,0.44,-0.43
6.099999999999986,0.73,0.46,-0.4
6.149999999999986,0.65,0.43,-0.45
6.199999999999986,0.7,0.42,-0.45
6.249999999999986,0.71,0.39,-0.56
6.299999999999986,0.7,0.39,-0.43
6.349999999999985,0.66,0.33,-0.56
6.399999999999985,0.71,0.28,-0.52
6.449999999999985,0.58,0.27,-0.51
6.499999999999985,0.69,0.25,-0.59
6.549999999999985,0.74,0.24,-0.58
6.5999999999999845,0.76,0.2,-0.65
6.649999999999984,0.75,0.19,-0.59
6.699999999999984,0.85,0.18,-0.6
6.749999999999984,0.88,0.13,-0.76
6.799999999999984,0.86,0.12,-0.79
6.849999999999984,0.88,0.14,-0.74
6.8999999999999835,0.93,0.13,-0.76
6.949999999999983,0.97,0.17,-0.76
6.999999999999983,0.98,0.18,-0.79
7.049999999999983,1.04,0.18,-0.81
7.099999999999983,1.05,0.15,-0.85
7.149999999999983,1.05,0.15,-0.8
