t (sec),x,y,z
0.05,0,0,0
0.05,-0.61,0.03,-0.56
0.1,0,0,0
0.15000000000000002,-0.56,0.22,-0.69
0.2,-0.55,0.23,-0.67
0.25,-0.62,0.31,-0.69
0.3,-0.7,0.27,-0.75
0.35,-0.69,0.22,-0.73
0.39999999999999997,-0.67,0.02,-0.75
0.44999999999999996,-0.61,0.03,-0.56
0.49999999999999994,0.18,0.13,-0.44
0.5499999999999999,0.42,0.26,-0.71
0.6,0.37,0.19,-0.77
0.65,0.51,0.02,-0.87
0.7000000000000001,0.52,0.04,-1.09
0.7500000000000001,0.44,0.04,-1.01
0.8000000000000002,0.45,0.24,-0.79
0.8500000000000002,0.41,0.22,-0.88
0.9000000000000002,0.3,0.17,-0.73
0.9500000000000003,0.48,0.17,-1.05
1.0000000000000002,0.5,0.14,-1.06
1.0500000000000003,0.77,0.18,-1.12
1.1000000000000003,0.72,0.13,-1.07
1.1500000000000004,0.69,0.33,-0.81
1.2000000000000004,0.56,0.29,-0.75
1.2500000000000004,0.49,0.37,-1.11
1.3000000000000005,0.73,0.52,-1.2
1.3500000000000005,0.75,0.58,-1.09
1.4000000000000006,0.77,0.66,-1.11
1.4500000000000006,0.66,0.54,-1.13
1.5000000000000007,0.71,0.45,-1.19
1.5500000000000007,0.6,0.48,-0.99
1.6000000000000008,0.37,0.48,-0.65
1.6500000000000008,0.32,0.65,-0.43
1.7000000000000008,0.18,0.61,-0.27
1.7500000000000009,0.13,0.57,-0.32
1.800000000000001,0.05,0.56,-0.28
1.850000000000001,0.02,0.61,-0.2
1.900000000000001,-0.07,0.66,-0.06
1.950000000000001,-0.21,0.68,0.0
2.000000000000001,-0.22,0.71,0.08
2.0500000000000007,-0.2,0.72,0.2
2.1000000000000005,-0.13,0.76,0.29
2.1500000000000004,-0.13,0.74,0.33
2.2,-0.12,0.77,0.35
2.25,-0.13,0.76,0.21
2.3,-0.15,0.79,0.32
2.3499999999999996,-0.18,0.77,0.31
2.3999999999999995,-0.17,0.83,0.35
2.4499999999999993,-0.15,0.84,0.3
2.499999999999999,-0.19,0.81,0.2
2.549999999999999,-0.24,0.71,0.09
2.5999999999999988,-0.25,0.74,0.24
2.6499999999999986,-0.14,0.83,0.27
2.6999999999999984,-0.06,0.77,0.08
2.7499999999999982,-0.05,0.75,-0.05
2.799999999999998,-0.04,0.66,-0.19
2.849999999999998,0.01,0.6,-0.29
2.8999999999999977,0.0,0.61,-0.31
2.9499999999999975,0.2,0.72,-0.54
2.9999999999999973,0.14,0.7,-0.5
3.049999999999997,0.22,0.8,-0.56
3.099999999999997,0.16,0.76,-0.61
3.149999999999997,0.28,0.84,-0.59
3.1999999999999966,0.48,0.85,-0.63
3.2499999999999964,0.58,0.88,-0.6
3.2999999999999963,0.54,0.82,-0.63
3.349999999999996,0.46,0.74,-0.71
3.399999999999996,0.44,0.73,-0.67
3.4499999999999957,0.51,0.71,-0.9
3.4999999999999956,0.59,0.77,-0.99
3.5499999999999954,0.62,0.84,-0.96
3.599999999999995,0.58,0.83,-0.95
3.649999999999995,0.54,0.82,-0.85
3.699999999999995,0.51,0.81,-0.8
3.7499999999999947,0.41,0.75,-0.75
3.7999999999999945,0.4,0.78,-0.71
3.8499999999999943,0.36,0.8,-0.64
3.899999999999994,0.33,0.81,-0.54
3.949999999999994,0.28,0.8,-0.43
3.999999999999994,0.26,0.8,-0.31
4.049999999999994,0.23,0.77,-0.32
4.099999999999993,0.19,0.71,-0.26
4.149999999999993,0.19,0.67,-0.24
4.199999999999993,0.17,0.66,-0.2
4.249999999999993,0.11,0.68,-0.16
4.299999999999993,0.04,0.74,-0.05
4.3499999999999925,-0.03,0.76,0.01
4.399999999999992,-0.03,0.8,0.04
4.449999999999992,-0.01,0.81,0.05
4.499999999999992,-0.07,0.78,0.14
4.549999999999992,-0.05,0.8,0.25
4.599999999999992,-0.06,0.8,0.31
4.6499999999999915,-0.1,0.81,0.37
4.699999999999991,-0.14,0.82,0.37
4.749999999999991,-0.2,0.79,0.38
4.799999999999991,-0.24,0.78,0.38
4.849999999999991,-0.25,0.78,0.41
4.899999999999991,-0.2,0.79,0.43
4.94999999999999,-0.13,0.8,0.38
4.99999999999999,-0.11,0.8,0.45
5.04999999999999,-0.08,0.83,0.43
5.09999999999999,-0.08,0.82,0.33
5.14999999999999,-0.14,0.79,0.32
5.1999999999999895,-0.14,0.79,0.2
5.249999999999989,-0.13,0.82,0.14
5.299999999999989,-0.09,0.81,0.04
5.349999999999989,0.07,0.85,-0.14
5.399999999999989,0.06,0.74,-0.21
5.449999999999989,0.1,0.71,-0.21
5.4999999999999885,0.12,0.73,-0.2
5.549999999999988,0.07,0.68,-0.25
5.599999999999988,0.09,0.83,-0.23
5.649999999999988,0.11,0.82,-0.34
5.699999999999988,0.08,0.86,-0.36
5.749999999999988,0.06,0.77,-0.47
5.799999999999987,0.22,0.86,-0.43
5.849999999999987,0.33,0.94,-0.42
5.899999999999987,0.39,0.93,-0.49
5.949999999999987,0.49,0.88,-0.54
5.999999999999987,0.6,0.86,-0.56
6.0499999999999865,0.55,0.82,-0.6
6.099999999999986,0.55,0.79,-0.73
6.149999999999986,0.61,0.79,-0.88
6.199999999999986,0.65,0.77,-0.96
6.249999999999986,0.66,0.79,-0.91
6.299999999999986,0.67,0.83,-0.87
6.349999999999985,0.62,0.81,-0.88
6.399999999999985,0.56,0.83,-0.77
6.449999999999985,0.43,0.77,-0.77
6.499999999999985,0.39,0.84,-0.66
6.549999999999985,0.36,0.83,-0.63
6.5999999999999845,0.31,0.82,-0.58
6.649999999999984,0.26,0.82,-0.38
6.699999999999984,0.25,0.81,-0.29
6.749999999999984,0.32,0.82,-0.23
6.799999999999984,0.31,0.75,-0.23
6.849999999999984,0.2,0.74,-0.07
6.8999999999999835,0.15,0.72,-0.07
6.949999999999983,0.08,0.7,-0.02
6.999999999999983,0.01,0.72,-0.01
7.049999999999983,-0.12,0.67,0.16
7.099999999999983,-0.11,0.72,0.26
7.149999999999983,-0.04,0.76,0.23
7.199999999999982,-0.08,0.77,0.24
7.249999999999982,-0.15,0.8,0.29
7.299999999999982,-0.18,0.81,0.34
7.349999999999982,-0.23,0.81,0.31
7.399999999999982,-0.29,0.79,0.33
7.4499999999999815,-0.27,0.8,0.29
7.499999999999981,-0.27,0.81,0.27
7.549999999999981,-0.25,0.8,0.33
7.599999999999981,-0.36,0.75,0.39
7.649999999999981,-0.32,0.73,0.28
7.699999999999981,-0.2,0.73,0.1
7.7499999999999805,-0.19,0.75,0.13
7.79999999999998,-0.21,0.79,0.12
7.84999999999998,-0.22,0.79,0.11
7.89999999999998,-0.24,0.73,0.08
7.94999999999998,-0.21,0.77,0.11
7.99999999999998,-0.08,0.75,-0.0
8.04999999999998,-0.06,0.73,0.03
8.09999999999998,0.0,0.8,0.02
8.14999999999998,-0.09,0.81,0.09
8.199999999999982,-0.13,0.79,-0.11
8.249999999999982,-0.17,0.73,-0.29
8.299999999999983,-0.15,0.75,-0.22
8.349999999999984,0.01,0.84,-0.2
8.399999999999984,0.25,0.93,-0.3
8.449999999999985,0.56,0.99,-0.54
8.499999999999986,0.57,1.0,-0.53
8.549999999999986,0.59,0.98,-0.73
8.599999999999987,0.61,0.97,-0.83
8.649999999999988,0.57,0.96,-0.82
8.699999999999989,0.48,0.92,-0.78
8.74999999999999,0.44,0.88,-0.68
8.79999999999999,0.4,0.85,-0.65
8.84999999999999,0.3,0.84,-0.59
