t (sec),x,y,z
0.05,0.17,0.03,-0.46
0.05,0.26,0.06,-0.7
0.1,0.3,0.06,-0.83
0.15000000000000002,0.32,0.07,-0.87
0.2,0.33,0.06,-0.91
0.25,0.36,0.05,-0.91
0.3,0.35,0.05,-0.94
0.35,0.37,0.06,-0.94
0.39999999999999997,0.38,0.05,-0.97
0.44999999999999996,0.38,0.05,-0.93
0.49999999999999994,0.39,0.06,-0.94
0.5499999999999999,0.4,0.09,-1.02
0.6,0.42,0.11,-1.07
0.65,0.45,0.11,-1.06
0.7000000000000001,0.44,0.09,-1.07
0.7500000000000001,0.43,0.1,-1.0
0.8000000000000002,0.39,0.08,-0.97
0.8500000000000002,0.37,0.07,-0.96
0.9000000000000002,0.34,0.07,-0.97
0.9500000000000003,0.34,0.07,-0.94
1.0000000000000002,0.31,0.05,-1.01
1.0500000000000003,0.31,0.03,-1.03
1.1000000000000003,0.36,0.05,-1.02
1.1500000000000004,0.38,0.09,-1.09
1.2000000000000004,0.39,0.1,-1.04
1.2500000000000004,0.35,0.07,-1.06
1.3000000000000005,0.33,0.08,-1.04
1.3500000000000005,0.39,0.09,-0.97
1.4000000000000006,0.38,0.09,-0.97
1.4500000000000006,0.34,0.03,-0.87
1.5000000000000007,0.32,-0.01,-0.77
1.5500000000000007,0.33,-0.0,-0.67
1.6000000000000008,0.33,0.02,-0.57
1.6500000000000008,0.3,-0.01,-0.55
1.7000000000000008,0.28,-0.01,-0.63
1.7500000000000009,0.27,0.04,-0.69
1.800000000000001,0.28,0.04,-0.7
1.850000000000001,0.23,0.03,-0.69
1.900000000000001,0.27,-0.02,-0.7
1.950000000000001,0.31,0.08,-0.91
2.000000000000001,0.33,0.0,-0.81
2.0500000000000007,0.26,0.04,-0.94
2.1000000000000005,0.37,0.1,-1.01
2.1500000000000004,0.43,0.13,-1.07
2.2,0.45,0.08,-1.14
2.25,0.45,0.01,-1.18
2.3,0.45,0.03,-1.14
2.3499999999999996,0.49,0.07,-1.09
2.3999999999999995,0.5,0.1,-1.08
2.4499999999999993,0.5,0.1,-1.03
2.499999999999999,0.53,0.16,-0.98
2.549999999999999,0.5,0.14,-0.98
2.5999999999999988,0.52,0.14,-0.96
2.6499999999999986,0.51,0.13,-0.97
2.6999999999999984,0.54,0.12,-0.94
2.7499999999999982,0.54,0.1,-0.97
2.799999999999998,0.5,0.1,-0.99
2.849999999999998,0.5,0.11,-0.94
2.8999999999999977,0.47,0.11,-0.96
2.9499999999999975,0.46,0.08,-0.99
2.9999999999999973,0.48,0.08,-1.0
3.049999999999997,0.49,0.11,-1.07
3.099999999999997,0.5,0.11,-1.07
3.149999999999997,0.47,0.09,-1.12
3.1999999999999966,0.46,0.1,-1.12
3.2499999999999964,0.45,0.07,-1.12
3.2999999999999963,0.43,0.03,-1.1
3.349999999999996,0.4,0.03,-1.08
3.399999999999996,0.34,0.04,-1.05
3.4499999999999957,0.27,0.04,-1.03
3.4999999999999956,0.22,0.05,-0.96
3.5499999999999954,0.2,0.01,-0.88
3.599999999999995,0.23,0.06,-0.88
3.649999999999995,0.25,-0.02,-0.86
3.699999999999995,0.28,-0.03,-0.8
3.7499999999999947,0.31,-0.07,-0.7
3.7999999999999945,0.29,-0.06,-0.61
3.8499999999999943,0.21,-0.04,-0.54
3.899999999999994,0.16,0.02,-0.49
3.949999999999994,0.16,0.02,-0.65
3.999999999999994,0.17,0.05,-0.6
4.049999999999994,0.12,-0.05,-0.71
4.099999999999993,0.23,0.05,-0.82
4.149999999999993,0.27,0.03,-0.7
4.199999999999993,0.2,0.04,-0.9
4.249999999999993,0.29,0.12,-0.9
4.299999999999993,0.26,0.1,-1.08
4.3499999999999925,0.28,0.12,-1.06
4.399999999999992,0.26,0.04,-1.27
4.449999999999992,0.24,0.04,-1.21
4.499999999999992,0.26,0.03,-1.19
4.549999999999992,0.35,0.1,-1.1
4.599999999999992,0.37,0.14,-1.07
4.6499999999999915,0.42,0.16,-1.03
4.699999999999991,0.44,0.13,-1.05
4.749999999999991,0.42,0.06,-1.08
4.799999999999991,0.49,0.12,-1.0
4.849999999999991,0.52,0.13,-0.99
4.899999999999991,0.52,0.09,-1.09
4.94999999999999,0.55,0.09,-1.1
4.99999999999999,0.57,0.14,-1.14
5.04999999999999,0.57,0.19,-1.17
5.09999999999999,0.57,0.21,-1.12
5.14999999999999,0.54,0.18,-1.12
5.1999999999999895,0.48,0.16,-1.12
5.249999999999989,0.42,0.13,-1.13
5.299999999999989,0.37,0.12,-1.05
5.349999999999989,0.3,0.06,-1.1
5.399999999999989,0.3,0.09,-0.93
5.449999999999989,0.27,0.07,-0.92
5.4999999999999885,0.28,0.12,-0.86
5.549999999999988,0.25,0.1,-0.89
5.599999999999988,0.26,0.12,-0.83
5.649999999999988,0.24,0.12,-0.84
5.699999999999988,0.28,0.03,-0.65
5.749999999999988,0.3,0.1,-0.6
5.799999999999987,0.22,0.09,-0.63
5.849999999999987,0.19,0.13,-0.65
5.899999999999987,0.15,0.09,-0.72
5.949999999999987,0.21,0.15,-0.72
5.999999999999987,0.17,0.26,-0.65
6.0499999999999865,0.13,0.31,-0.48
6.099999999999986,0.15,0.49,-0.37
6.149999999999986,0.11,0.54,-0.54
6.199999999999986,0.03,0.5,-0.63
6.249999999999986,0.09,0.63,-0.73
6.299999999999986,0.12,0.68,-0.83
6.349999999999985,0.11,0.64,-0.79
6.399999999999985,0.14,0.6,-0.89
6.449999999999985,0.14,0.58,-1.02
6.499999999999985,0.24,0.54,-0.9
6.549999999999985,0.23,0.46,-0.97
6.5999999999999845,0.29,0.47,-0.89
6.649999999999984,0.31,0.46,-0.93
6.699999999999984,0.39,0.45,-1.03
6.749999999999984,0.45,0.45,-0.98
6.799999999999984,0.51,0.47,-0.96
6.849999999999984,0.52,0.43,-0.94
6.8999999999999835,0.52,0.41,-0.95
6.949999999999983,0.52,0.38,-0.96
6.999999999999983,0.54,0.39,-0.9
7.049999999999983,0.55,0.44,-0.93
7.099999999999983,0.54,0.41,-0.96
7.149999999999983,0.56,0.44,-0.98
7.199999999999982,0.56,0.42,-0.97
7.249999999999982,0.49,0.4,-1.0
7.299999999999982,0.45,0.38,-0.99
7.349999999999982,0.42,0.43,-0.95
7.399999999999982,0.35,0.44,-0.95
7.4499999999999815,0.32,0.45,-0.89
7.499999999999981,0.24,0.49,-0.93
7.549999999999981,0.23,0.53,-0.84
7.599999999999981,0.18,0.57,-0.85
7.649999999999981,0.18,0.51,-0.74
