t (sec),x,y,z
0.05,-0.04,0.08,-0.34
0.05,0.14,0.1,-0.74
0.1,0.18,0.14,-0.82
0.15000000000000002,0.25,0.09,-0.97
0.2,0.28,0.12,-0.95
0.25,0.33,0.15,-0.96
0.3,0.29,0.08,-0.98
0.35,0.23,0.01,-0.96
0.39999999999999997,0.27,0.04,-0.98
0.44999999999999996,0.24,0.0,-0.96
0.49999999999999994,0.24,-0.01,-0.99
0.5499999999999999,0.26,-0.03,-0.98
0.6,0.26,0.02,-0.93
0.65,0.3,0.09,-0.96
0.7000000000000001,0.3,0.11,-0.92
0.7500000000000001,0.32,0.12,-0.95
0.8000000000000002,0.27,0.13,-0.82
0.8500000000000002,0.3,0.12,-0.89
0.9000000000000002,0.3,0.09,-0.93
0.9500000000000003,0.31,0.1,-0.94
1.0000000000000002,0.32,0.1,-0.95
1.0500000000000003,0.32,0.08,-0.96
1.1000000000000003,0.33,0.09,-0.94
1.1500000000000004,0.34,0.08,-0.94
1.2000000000000004,0.35,0.03,-0.97
1.2500000000000004,0.35,-0.02,-0.97
1.3000000000000005,0.37,-0.11,-0.97
1.3500000000000005,0.4,-0.16,-1.01
1.4000000000000006,0.42,-0.17,-1.0
1.4500000000000006,0.42,-0.15,-1.07
1.5000000000000007,0.43,-0.11,-1.1
1.5500000000000007,0.44,-0.09,-1.17
1.6000000000000008,0.48,-0.02,-1.16
1.6500000000000008,0.49,0.04,-1.17
1.7000000000000008,0.46,-0.06,-1.02
1.7500000000000009,0.46,0.05,-1.18
1.800000000000001,0.4,0.07,-1.08
1.850000000000001,0.35,0.18,-1.08
1.900000000000001,0.31,0.19,-1.0
1.950000000000001,0.27,0.12,-0.97
2.000000000000001,0.23,0.1,-1.02
2.0500000000000007,0.21,0.0,-1.04
2.1000000000000005,0.16,-0.03,-1.04
2.1500000000000004,0.08,-0.03,-1.05
2.2,0.04,-0.05,-0.92
2.25,0.01,-0.06,-0.75
2.3,-0.05,-0.12,-0.65
2.3499999999999996,-0.12,-0.15,-0.51
2.3999999999999995,-0.17,-0.16,-0.49
2.4499999999999993,-0.17,-0.2,-0.37
2.499999999999999,-0.17,-0.21,-0.33
2.549999999999999,-0.15,-0.2,-0.39
2.5999999999999988,-0.13,-0.18,-0.46
2.6499999999999986,-0.07,-0.11,-0.57
2.6999999999999984,-0.0,-0.06,-0.65
2.7499999999999982,0.06,-0.0,-0.78
2.799999999999998,0.17,0.17,-0.79
2.849999999999998,0.19,0.2,-0.91
2.8999999999999977,0.24,0.17,-0.93
2.9499999999999975,0.38,0.36,-1.06
2.9999999999999973,0.33,0.34,-1.11
3.049999999999997,0.4,0.37,-1.09
3.099999999999997,0.41,0.43,-1.13
3.149999999999997,0.42,0.47,-1.04
3.1999999999999966,0.41,0.39,-1.19
3.2499999999999964,0.41,0.45,-1.1
3.2999999999999963,0.37,0.48,-1.03
3.349999999999996,0.34,0.47,-1.04
3.399999999999996,0.32,0.51,-0.93
3.4499999999999957,0.33,0.48,-0.96
3.4999999999999956,0.35,0.48,-0.88
3.5499999999999954,0.36,0.4,-0.88
3.599999999999995,0.35,0.49,-0.91
3.649999999999995,0.34,0.46,-0.84
3.699999999999995,0.32,0.44,-0.87
3.7499999999999947,0.32,0.42,-0.89
3.7999999999999945,0.32,0.42,-0.9
3.8499999999999943,0.34,0.4,-0.93
3.899999999999994,0.36,0.39,-0.97
3.949999999999994,0.37,0.34,-1.05
3.999999999999994,0.37,0.38,-1.04
4.049999999999994,0.33,0.36,-1.17
4.099999999999993,0.33,0.47,-1.08
