t (sec),x,y,z
0.05,0.27,-0.16,-0.5
0.05,0.46,-0.29,-0.68
0.1,0.51,-0.4,-0.92
0.15000000000000002,0.63,-0.41,-0.93
0.2,0.52,-0.46,-0.92
0.25,0.55,-0.44,-0.85
0.3,0.56,-0.41,-0.85
0.35,0.56,-0.41,-0.8
0.39999999999999997,0.51,-0.41,-0.82
0.44999999999999996,0.51,-0.41,-0.77
0.49999999999999994,0.51,-0.38,-0.79
0.5499999999999999,0.5,-0.39,-0.79
0.6,0.5,-0.38,-0.81
0.65,0.52,-0.39,-0.83
0.7000000000000001,0.53,-0.42,-0.88
0.7500000000000001,0.55,-0.42,-0.85
0.8000000000000002,0.56,-0.4,-0.89
0.8500000000000002,0.53,-0.4,-0.9
0.9000000000000002,0.55,-0.32,-0.88
0.9500000000000003,0.56,-0.27,-0.79
1.0000000000000002,0.56,-0.25,-0.77
1.0500000000000003,0.59,-0.22,-0.83
1.1000000000000003,0.62,-0.21,-0.85
1.1500000000000004,0.63,-0.23,-0.88
1.2000000000000004,0.65,-0.19,-0.93
1.2500000000000004,0.67,-0.22,-0.96
1.3000000000000005,0.69,-0.17,-0.97
1.3500000000000005,0.72,-0.12,-0.98
1.4000000000000006,0.71,-0.1,-0.96
1.4500000000000006,0.7,-0.08,-0.99
1.5000000000000007,0.73,-0.01,-0.97
1.5500000000000007,0.68,0.02,-0.97
1.6000000000000008,0.67,0.01,-0.91
1.6500000000000008,0.63,-0.01,-0.93
1.7000000000000008,0.63,0.02,-0.91
1.7500000000000009,0.59,-0.0,-0.9
1.800000000000001,0.6,0.03,-0.84
1.850000000000001,0.59,0.06,-0.79
1.900000000000001,0.58,0.07,-0.83
1.950000000000001,0.57,0.06,-0.76
2.000000000000001,0.58,0.05,-0.79
2.0500000000000007,0.56,0.06,-0.84
2.1000000000000005,0.57,0.06,-0.85
2.1500000000000004,0.56,0.02,-0.79
2.2,0.57,0.0,-0.78
2.25,0.55,-0.02,-0.79
2.3,0.54,-0.05,-0.8
2.3499999999999996,0.51,-0.05,-0.78
2.3999999999999995,0.48,-0.06,-0.75
2.4499999999999993,0.47,-0.03,-0.72
2.499999999999999,0.44,-0.02,-0.72
2.549999999999999,0.45,-0.01,-0.73
2.5999999999999988,0.49,-0.03,-0.76
2.6499999999999986,0.5,-0.06,-0.85
2.6999999999999984,0.51,-0.08,-0.91
2.7499999999999982,0.51,-0.08,-0.91
2.799999999999998,0.5,-0.1,-0.91
2.849999999999998,0.49,-0.07,-0.91
2.8999999999999977,0.48,-0.06,-0.89
2.9499999999999975,0.46,-0.05,-0.8
2.9999999999999973,0.44,-0.1,-0.78
3.049999999999997,0.42,-0.06,-0.74
3.099999999999997,0.42,-0.05,-0.72
3.149999999999997,0.41,-0.06,-0.75
3.1999999999999966,0.38,-0.04,-0.65
3.2499999999999964,0.35,-0.09,-0.66
3.2999999999999963,0.42,-0.01,-0.76
3.349999999999996,0.47,-0.04,-0.79
3.399999999999996,0.5,0.06,-0.75
3.4499999999999957,0.54,0.05,-0.81
3.4999999999999956,0.56,0.04,-0.87
3.5499999999999954,0.62,0.11,-0.88
3.599999999999995,0.61,0.04,-0.92
3.649999999999995,0.63,0.11,-0.93
3.699999999999995,0.59,0.02,-1.0
3.7499999999999947,0.6,0.11,-0.94
3.7999999999999945,0.59,0.03,-0.97
3.8499999999999943,0.59,0.03,-0.95
3.899999999999994,0.61,-0.01,-1.03
3.949999999999994,0.62,-0.01,-1.01
3.999999999999994,0.66,0.02,-1.1
4.049999999999994,0.66,0.06,-1.07
4.099999999999993,0.69,0.04,-1.05
4.149999999999993,0.71,0.01,-1.05
4.199999999999993,0.68,-0.06,-0.99
4.249999999999993,0.67,0.0,-1.05
4.299999999999993,0.68,0.01,-1.08
4.3499999999999925,0.68,0.07,-1.01
4.399999999999992,0.67,0.09,-1.02
4.449999999999992,0.69,0.13,-1.03
4.499999999999992,0.68,0.08,-1.05
4.549999999999992,0.7,0.04,-1.04
4.599999999999992,0.69,0.11,-1.0
4.6499999999999915,0.68,0.12,-0.95
4.699999999999991,0.63,0.08,-0.92
4.749999999999991,0.6,0.08,-0.85
4.799999999999991,0.59,0.07,-0.86
4.849999999999991,0.57,0.09,-0.82
4.899999999999991,0.55,0.05,-0.81
4.94999999999999,0.53,0.04,-0.79
4.99999999999999,0.51,0.02,-0.75
5.04999999999999,0.48,0.01,-0.75
5.09999999999999,0.46,-0.01,-0.75
5.14999999999999,0.47,0.01,-0.74
5.1999999999999895,0.47,-0.03,-0.8
5.249999999999989,0.49,-0.03,-0.84
5.299999999999989,0.46,-0.08,-0.78
