t (sec),x,y,z
0.05,0.04,-0.17,-0.47
0.05,0.06,-0.26,-0.7
0.1,0.07,-0.32,-0.81
0.15000000000000002,0.08,-0.34,-0.86
0.2,0.09,-0.35,-0.89
0.25,0.09,-0.36,-0.9
0.3,0.09,-0.37,-0.91
0.35,0.09,-0.36,-0.91
0.39999999999999997,0.09,-0.37,-0.91
0.44999999999999996,0.09,-0.37,-0.92
0.49999999999999994,0.09,-0.37,-0.93
0.5499999999999999,0.09,-0.35,-0.92
0.6,0.09,-0.36,-0.92
0.65,0.11,-0.36,-0.92
0.7000000000000001,0.12,-0.37,-0.92
0.7500000000000001,0.13,-0.37,-0.91
0.8000000000000002,0.13,-0.37,-0.91
0.8500000000000002,0.13,-0.37,-0.92
0.9000000000000002,0.13,-0.37,-0.93
0.9500000000000003,0.13,-0.37,-0.93
1.0000000000000002,0.13,-0.36,-0.93
1.0500000000000003,0.14,-0.37,-0.93
1.1000000000000003,0.15,-0.37,-0.93
1.1500000000000004,0.15,-0.36,-0.93
1.2000000000000004,0.16,-0.37,-0.94
1.2500000000000004,0.16,-0.38,-0.95
1.3000000000000005,0.15,-0.41,-0.98
1.3500000000000005,0.15,-0.43,-1.0
1.4000000000000006,0.15,-0.44,-1.03
1.4500000000000006,0.13,-0.43,-1.02
1.5000000000000007,0.12,-0.41,-1.02
1.5500000000000007,0.12,-0.36,-0.92
1.6000000000000008,0.14,-0.29,-0.77
1.6500000000000008,0.13,-0.28,-0.71
1.7000000000000008,0.15,-0.28,-0.71
1.7500000000000009,0.16,-0.3,-0.75
1.800000000000001,0.17,-0.31,-0.79
1.850000000000001,0.17,-0.38,-0.94
1.900000000000001,0.17,-0.43,-1.05
1.950000000000001,0.18,-0.42,-1.08
2.000000000000001,0.19,-0.39,-1.08
2.0500000000000007,0.17,-0.32,-0.98
2.1000000000000005,0.13,-0.32,-0.95
2.1500000000000004,0.17,-0.33,-0.97
2.2,0.2,-0.31,-0.96
2.25,0.18,-0.31,-0.94
2.3,0.16,-0.31,-0.94
2.3499999999999996,0.17,-0.31,-0.94
2.3999999999999995,0.17,-0.3,-0.94
2.4499999999999993,0.17,-0.3,-0.95
2.499999999999999,0.18,-0.31,-0.96
2.549999999999999,0.18,-0.3,-0.95
2.5999999999999988,0.18,-0.31,-0.96
2.6499999999999986,0.18,-0.34,-1.0
2.6999999999999984,0.19,-0.35,-1.0
2.7499999999999982,0.17,-0.38,-1.04
2.799999999999998,0.16,-0.4,-1.04
2.849999999999998,0.13,-0.4,-1.03
2.8999999999999977,0.13,-0.4,-1.02
2.9499999999999975,0.12,-0.33,-0.92
2.9999999999999973,0.15,-0.25,-0.75
3.049999999999997,0.2,-0.21,-0.66
3.099999999999997,0.17,-0.26,-0.73
3.149999999999997,0.18,-0.29,-0.8
3.1999999999999966,0.21,-0.26,-0.81
3.2499999999999964,0.18,-0.29,-0.87
3.2999999999999963,0.16,-0.4,-1.02
3.349999999999996,0.22,-0.43,-1.08
3.399999999999996,0.23,-0.41,-1.11
3.4499999999999957,0.22,-0.32,-0.99
3.4999999999999956,0.17,-0.28,-0.89
3.5499999999999954,0.15,-0.33,-0.95
3.599999999999995,0.22,-0.35,-0.97
3.649999999999995,0.26,-0.31,-0.95
3.699999999999995,0.23,-0.31,-0.93
3.7499999999999947,0.22,-0.31,-0.94
3.7999999999999945,0.24,-0.3,-0.94
3.8499999999999943,0.25,-0.3,-0.95
3.899999999999994,0.24,-0.29,-0.96
3.949999999999994,0.23,-0.3,-0.94
3.999999999999994,0.23,-0.3,-0.94
4.049999999999994,0.22,-0.3,-0.95
4.099999999999993,0.21,-0.3,-0.95
4.149999999999993,0.22,-0.31,-0.95
4.199999999999993,0.22,-0.33,-0.96
4.249999999999993,0.21,-0.34,-0.96
4.299999999999993,0.2,-0.36,-0.98
4.3499999999999925,0.19,-0.37,-1.0
4.399999999999992,0.18,-0.37,-0.99
4.449999999999992,0.18,-0.37,-0.97
4.499999999999992,0.18,-0.37,-0.97
4.549999999999992,0.18,-0.37,-0.96
4.599999999999992,0.18,-0.35,-0.94
4.6499999999999915,0.18,-0.32,-0.89
4.699999999999991,0.18,-0.29,-0.83
4.749999999999991,0.18,-0.27,-0.79
4.799999999999991,0.18,-0.27,-0.77
4.849999999999991,0.21,-0.29,-0.82
4.899999999999991,0.22,-0.3,-0.82
4.94999999999999,0.22,-0.33,-0.9
4.99999999999999,0.19,-0.43,-1.03
5.04999999999999,0.23,-0.42,-1.02
5.09999999999999,0.23,-0.42,-1.02
5.14999999999999,0.23,-0.36,-0.97
5.1999999999999895,0.2,-0.34,-0.96
5.249999999999989,0.22,-0.32,-0.99
5.299999999999989,0.25,-0.29,-0.96
5.349999999999989,0.25,-0.27,-0.95
5.399999999999989,0.25,-0.28,-0.96
5.449999999999989,0.27,-0.3,-0.96
5.4999999999999885,0.27,-0.3,-0.94
5.549999999999988,0.26,-0.32,-0.93
5.599999999999988,0.25,-0.32,-0.93
5.649999999999988,0.26,-0.32,-0.93
5.699999999999988,0.24,-0.33,-0.93
5.749999999999988,0.24,-0.32,-0.94
5.799999999999987,0.24,-0.33,-0.96
5.849999999999987,0.24,-0.34,-0.96
5.899999999999987,0.24,-0.36,-0.98
5.949999999999987,0.22,-0.38,-1.01
5.999999999999987,0.21,-0.4,-1.04
6.0499999999999865,0.21,-0.4,-1.05
6.099999999999986,0.2,-0.39,-1.03
6.149999999999986,0.18,-0.38,-0.99
6.199999999999986,0.19,-0.34,-0.91
6.249999999999986,0.21,-0.28,-0.78
6.299999999999986,0.19,-0.25,-0.68
6.349999999999985,0.17,-0.3,-0.73
6.399999999999985,0.2,-0.34,-0.82
6.449999999999985,0.25,-0.3,-0.82
6.499999999999985,0.22,-0.3,-0.84
6.549999999999985,0.22,-0.34,-0.95
6.5999999999999845,0.23,-0.37,-1.03
6.649999999999984,0.21,-0.44,-1.12
6.699999999999984,0.29,-0.4,-1.09
6.749999999999984,0.31,-0.29,-0.94
6.799999999999984,0.2,-0.31,-0.93
6.849999999999984,0.23,-0.33,-0.96
6.8999999999999835,0.29,-0.3,-0.96
6.949999999999983,0.3,-0.29,-0.97
6.999999999999983,0.24,-0.31,-0.97
7.049999999999983,0.23,-0.33,-0.94
7.099999999999983,0.24,-0.33,-0.93
7.149999999999983,0.24,-0.33,-0.93
7.199999999999982,0.24,-0.31,-0.94
7.249999999999982,0.25,-0.3,-0.94
7.299999999999982,0.25,-0.31,-0.94
7.349999999999982,0.25,-0.31,-0.94
7.399999999999982,0.26,-0.3,-0.94
7.4499999999999815,0.25,-0.3,-0.95
7.499999999999981,0.25,-0.31,-0.96
7.549999999999981,0.24,-0.34,-0.98
7.599999999999981,0.24,-0.38,-1.01
7.649999999999981,0.22,-0.42,-1.06
7.699999999999981,0.22,-0.39,-1.04
7.7499999999999805,0.22,-0.36,-0.99
7.79999999999998,0.2,-0.36,-0.95
7.84999999999998,0.18,-0.37,-0.92
7.89999999999998,0.19,-0.36,-0.87
7.94999999999998,0.2,-0.33,-0.8
7.99999999999998,0.18,-0.31,-0.76
8.04999999999998,0.17,-0.32,-0.75
8.09999999999998,0.19,-0.34,-0.81
8.14999999999998,0.22,-0.33,-0.84
8.199999999999982,0.23,-0.31,-0.84
8.249999999999982,0.22,-0.32,-0.9
8.299999999999983,0.21,-0.38,-0.98
8.349999999999984,0.24,-0.38,-1.02
8.399999999999984,0.23,-0.41,-1.06
8.449999999999985,0.24,-0.39,-1.05
8.499999999999986,0.24,-0.34,-0.98
8.549999999999986,0.21,-0.32,-0.95
8.599999999999987,0.21,-0.32,-0.95
8.649999999999988,0.24,-0.33,-0.95
8.699999999999989,0.25,-0.34,-0.95
8.74999999999999,0.24,-0.35,-0.94
8.79999999999999,0.23,-0.35,-0.93
8.84999999999999,0.23,-0.35,-0.93
8.899999999999991,0.22,-0.36,-0.93
8.949999999999992,0.22,-0.35,-0.94
8.999999999999993,0.23,-0.34,-0.94
9.049999999999994,0.23,-0.34,-0.94
9.099999999999994,0.24,-0.33,-0.95
9.149999999999995,0.24,-0.34,-0.96
9.199999999999996,0.25,-0.34,-0.97
9.249999999999996,0.24,-0.35,-0.95
9.299999999999997,0.23,-0.36,-0.95
9.349999999999998,0.21,-0.39,-1.0
9.399999999999999,0.22,-0.41,-1.03
9.45,0.23,-0.41,-1.04
9.5,0.22,-0.39,-1.01
9.55,0.21,-0.36,-0.96
9.600000000000001,0.21,-0.32,-0.88
9.650000000000002,0.21,-0.27,-0.8
9.700000000000003,0.2,-0.25,-0.74
9.750000000000004,0.19,-0.27,-0.73
